nama,harga,rating,jumlah_review,link,wilayah
"Home in Cibeunying Kaler - Serene Pet-Friendly Family Lux Villa, Aqua Ville","Rp 9,848,899",5.0,33,https://www.airbnb.com/rooms/1647712818622104523,Kota Bandung
"Apartment in Cidadap - Dago, Ciumbuleuit, ITB | Cozy & Comfort | 4 Guests","Rp 3,446,781",4.98,132,https://www.airbnb.com/rooms/1583745571091269827,Kota Bandung
Home in Sukajadi - Pine Breeze W/ Backyard,"Rp 12,500,000",4.95,112,https://www.airbnb.com/rooms/1400529902543354123,Kota Bandung
Apartment in Cidadap - Abony | Bandung | PVJ | Lembang | Pool,"Rp 2,054,119",4.87,38,https://www.airbnb.com/rooms/1496783488914922824,Kota Bandung
Home in Cidadap - Wangiterrace,"Rp 9,883,877",4.98,51,https://www.airbnb.com/rooms/1504314537783385401,Kota Bandung
Home in Cidadap - Villa Zenka by Kava Stay,"Rp 8,312,500",4.8,10,https://www.airbnb.com/rooms/1725329399059912416,Kota Bandung
"Home in Parompong - Big Family Villa with open space, Coney Ville","Rp 9,498,548",4.96,456,https://www.airbnb.com/rooms/52666488,Kota Bandung
Apartment in Cicendo - Raj Estate– Lux Apartement @ Gateway Pasteur,"Rp 1,990,000",New,0,https://www.airbnb.com/rooms/1734004458707716799,Kota Bandung
Apartment in Kecamatan Cidadap - CozyGreenStudioWMBalconySmartTV WIIM LEGO,"Rp 2,163,548",4.99,148,https://www.airbnb.com/rooms/1123071848744434654,Kota Bandung
Home in Kecamatan Bandung Wetan - Upstairs Tamanari,"Rp 6,961,180",4.98,131,https://www.airbnb.com/rooms/962143730936904891,Kota Bandung
Apartment in Kecamatan Sukajadi - 2BR Apartment Majesty W/ Pool,"Rp 4,150,000",4.91,101,https://www.airbnb.com/rooms/1304028160969350787,Kota Bandung
Villa in Lembang - Cherry House Villa | Punclut Bandung,"Rp 6,100,000",4.93,345,https://www.airbnb.com/rooms/47212839,Kota Bandung
