"property_type","district","listing_title","price_idr","rating","is_new_listing","jumlah_review","link","wilayah","location_group"
"Home","Cibeunying Kaler","Serene Pet-Friendly Family Lux Villa, Aqua Ville","9848899","5.00","",33,"https://www.airbnb.com/rooms/1647712818622104523","Kota Bandung","Bandung Raya"
"Apartment","Cidadap","Dago, Ciumbuleuit, ITB | Cozy & Comfort | 4 Guests","3446781","4.98","",132,"https://www.airbnb.com/rooms/1583745571091269827","Kota Bandung","Bandung Raya"
"Home","Sukajadi","Pine Breeze W/ Backyard","12500000","4.95","",112,"https://www.airbnb.com/rooms/1400529902543354123","Kota Bandung","Bandung Raya"
"Apartment","Cidadap","Abony | Bandung | PVJ | Lembang | Pool","2054119","4.87","",38,"https://www.airbnb.com/rooms/1496783488914922824","Kota Bandung","Bandung Raya"
"Home","Cidadap","Wangiterrace","9883877","4.98","",51,"https://www.airbnb.com/rooms/1504314537783385401","Kota Bandung","Bandung Raya"
"Home","Cidadap","Villa Zenka by Kava Stay","8312500","4.80","",10,"https://www.airbnb.com/rooms/1725329399059912416","Kota Bandung","Bandung Raya"
"Home","Parompong","Big Family Villa with open space, Coney Ville","9498548","4.96","",456,"https://www.airbnb.com/rooms/52666488","Kota Bandung","Bandung Raya"
"Apartment","Cicendo","Raj Estate– Lux Apartement @ Gateway Pasteur","1990000","",1,0,"https://www.airbnb.com/rooms/1734004458707716799","Kota Bandung","Bandung Raya"
"Apartment","Cidadap","CozyGreenStudioWMBalconySmartTV WIIM LEGO","2163548","4.99","",148,"https://www.airbnb.com/rooms/1123071848744434654","Kota Bandung","Bandung Raya"
"Home","Bandung Wetan","Upstairs Tamanari","6961180","4.98","",131,"https://www.airbnb.com/rooms/962143730936904891","Kota Bandung","Bandung Raya"
"Apartment","Sukajadi","2BR Apartment Majesty W/ Pool","4150000","4.91","",101,"https://www.airbnb.com/rooms/1304028160969350787","Kota Bandung","Bandung Raya"
"Villa","Lembang","Cherry House Villa | Punclut Bandung","6100000","4.93","",345,"https://www.airbnb.com/rooms/47212839","Kota Bandung","Bandung Raya"
"Apartment","Cicendo","Terra | 2 BR Lagom Suites | Pasteur Gateway","2359720","4.93","",46,"https://www.airbnb.com/rooms/1415085424885277266","Kota Bandung","Bandung Raya"
"Apartment","Sumur Bandung","Boaz La Grande Apartment  Jl. Merdeka   2 Bedroom","3252354","4.90","",125,"https://www.airbnb.com/rooms/1206782548574391457","Kota Bandung","Bandung Raya"
"Apartment","Cicendo","2BR Gateway Pasteur W/ Pool","3250000","4.95","",82,"https://www.airbnb.com/rooms/1484600971492317883","Kota Bandung","Bandung Raya"
"Apartment","Sumurbandung","[Luxurious&Magnificent]LaGrande 4 Apt Bdg|4guest","2440000","5.00","",64,"https://www.airbnb.com/rooms/1630927216387438913","Kota Bandung","Bandung Raya"
"Apartment","Cidadap","2BR Parahyangan Residences W/ Pool & Playstation 5","3174000","4.98","",46,"https://www.airbnb.com/rooms/1585446244570868458","Kota Bandung","Bandung Raya"
"Apartment","Andir","Rosewood 01 | 2 BR Curated Home | Sudirman Suites","5330601","5.00","",7,"https://www.airbnb.com/rooms/1714912925914707856","Kota Bandung","Bandung Raya"
"Home","Ngamprah","NEW! 2 BR Cozy Tropical Family House near Lembang.","3488428","5.00","",4,"https://www.airbnb.com/rooms/1702616544325915306","Kota Bandung","Bandung Raya"
"Home","Coblong","Terra castle zen garden. Quite hours after 9 PM","2521979","4.82","",91,"https://www.airbnb.com/rooms/1248527436884976500","Kota Bandung","Bandung Raya"
